message,created_time,id,likes.data,likes.paging.cursors.before,likes.paging.cursors.after,likes.summary.total_count,likes.summary.can_like,likes.summary.has_liked,comments.data,comments.summary.order,comments.summary.total_count,comments.summary.can_comment,likes.paging.next,comments.paging.cursors.before,comments.paging.cursors.after,shares.count
"🎉 Giveaway! 🎨

To show our gratitude for your love and support, we’re thrilled to host a Classique Collection giveaway starting January 10th and concluding January 21st.

How to Enter:
1. Follow @JeanPierreWeillpaintings
2. Like this post.
3. Tag a friend in the comments!

BONUS ENTRY: 
Share this post in your stories and tag us!

🌍 We Ship Worldwide,* so this include you! This giveaway is an expression of our gratitude to this incredible community. We appreciate every one of you! 

⏰ Giveaway Deadline: January 21st, 7 PM EST. The winner will be announced on January 23rd. Join our family studio!

🍀 Good luck to everyone! 🍀

*Note: This giveaway is not associated with Instagram.
**Exclusions apply to countries not serviced by UPS.",2024-01-10T19:05:19+0000,124319427612935_889904966471876,[],QVFIUkVJNmhicXRMTjRRN0EycGlLZAnhjX1haTkxJYk1GX1RFTVVjR0pXWFhBdi1mRUI3N0ZAhZAVRMRFpHaHYxaVFCQXYZD,QVFIUm54VTJUSkYwQmNUaW1uYmRjaW1PUzZAja19BcTZAqMl9fdm9Ib094cUkwREN1cDhxQjdENjF1cUVrY0VmMEYzaXhzY2FOOTI5eF9xc2lBUlNKZAWlGMk53,20,True,False,"[{'created_time': '2024-01-12T15:21:21+0000', 'message': 'Birute Ankute-Rundell one of my favorite artists. 😁', 'id': '889904966471876_1082473156292238'}, {'created_time': '2024-01-12T20:58:51+0000', 'message': 'These are the stunning paintings, I was talking about Sara Horowitz ☺️', 'id': '889904966471876_3691571467829124'}, {'created_time': '2024-01-10T22:34:54+0000', 'message': 'Jennifer Aschenbrand Stewart  these are so cool!', 'id': '889904966471876_734153058653373'}, {'created_time': '2024-01-10T19:17:31+0000', 'message': 'Caryl Hirsch', 'id': '889904966471876_1350358056363909'}, {'created_time': '2024-01-11T12:58:32+0000', 'message': 'Need few more of these Matt Lindon ☺️', 'id': '889904966471876_1858561711246894'}, {'created_time': '2024-01-18T01:47:49+0000', 'message': 'My fellow art appreciators Cristal Underwood  Wendy Sue Colleen Mcintosh . I have one of his paintings..love it!!', 'id': '889904966471876_933732171645970'}, {'created_time': '2024-01-11T08:18:55+0000', 'message': 'Cathy Gastfield You know how much I love their pieces, and how I hope to some day have one in our home! ♥️🥰🤗', 'id': '889904966471876_656426210026085'}, {'created_time': '2024-01-13T22:23:03+0000', 'message': 'Love to see a old flower shop with a awning, flower pots full of flowers and a flower cart.', 'id': '889904966471876_1356530368371007'}, {'created_time': '2024-01-10T22:13:11+0000', 'message': 'Melanie Barbaza these are the paintings I was telling you about! ☺️💜', 'id': '889904966471876_1540317123430047'}, {'created_time': '2024-01-16T16:34:14+0000', 'message': 'Brittney Rodriguez', 'id': '889904966471876_345446788283957'}, {'created_time': '2024-01-11T17:26:45+0000', 'message': 'Candice Hirsch-Kirsten', 'id': '889904966471876_422373240364888'}, {'created_time': '2024-01-18T20:36:34+0000', 'message': 'Eleni Tsangari', 'id': '889904966471876_1107233933798035'}, {'created_time': '2024-01-10T20:50:58+0000', 'message': 'Lisa Raiti 🥰', 'id': '889904966471876_1188670015304310'}, {'created_time': '2024-01-11T06:47:31+0000', 'message': 'Tal Arnon', 'id': '889904966471876_741269004220239'}]",ranked,15,True,,MTUZD,MQZDZD,2.0
Meet our littlest Picasso-in-training! 👧🖌️ Our adorable helper is busy bringing her own creativity to brighten up our family studio. ☀️,2024-01-04T18:40:28+0000,124319427612935_885742943554745,[],QVFIUkRRcUpWLUx1RFN3YkxadFh6YnBORzFvcklxSVpvTlhJTnFmZAG1ody1CSnllckZAsQmJYTlh3UHZAJSG5PWGhOdy0yMUpFOFF5bU5zdW13blNZAeVdILURn,QVFIUld3SWVYTExxTDN6QmFqcnpVd0lybmt0TUpyZAjFvU19zeDgtcVlhZAHhRX1lxcFg4QnpuZA2FQNkd2dkNFdXZAWelVtZA3NXeTdFU3E5a0tIcldHMElTX3NR,20,True,False,"[{'created_time': '2024-01-04T22:41:17+0000', 'message': 'So beautiful to see another artist in the making 😍.  You are ll so gifted!', 'id': '885742943554745_1091426772301204'}, {'created_time': '2024-01-04T23:18:25+0000', 'message': 'געגוע!! 😍', 'id': '885742943554745_3528791610704760'}, {'created_time': '2024-01-04T19:18:58+0000', 'message': 'המתוקה הזו ❤️', 'id': '885742943554745_7236430453066391'}]",ranked,3,True,,MwZDZD,MQZDZD,1.0
"Gratitude is powerful in every circumstance… and we have much to be grateful for. ❤️

When life feels fragile and precious, whether due to a personal struggle or a national tragedy, gratitude is an anchor. 🫂

As we head into winter, Thanksgiving is an opportunity to connect to what is important and appreciate the relationships that make life rich. 🙏💕

From our family to yours, Happy Thanksgiving! 🫶",2023-11-22T19:26:28+0000,124319427612935_855913363204370,[],QVFIUlBtTF9BVTNXU1B6c3k5YzNsQ1BHb242X0NGSWpxYVN2S0dDX2laZAUw5aUlfY3JILS1TREJaR01GVlJ5NExrb3cZD,QVFIUlpTek1hdUt2OV9NbnlxMUh1X2xkeENBc2steFFBbzRxQzBibkpVY3Q3b2I0azRLTkI5T2ZAWSUlsd2IwXzM2YXdCNlBvYmd1dEpnN3lucXNXWE5vTkx3,19,True,False,"[{'created_time': '2023-11-23T18:14:45+0000', 'message': 'Thank you for giving so much beauty to others in the artwork you share. Happy Thanksgiving to you!', 'id': '855913363204370_363359906255785'}, {'created_time': '2023-11-22T23:25:49+0000', 'message': 'May you and your family have a safe, blessed, and happy Thanksgiving.', 'id': '855913363204370_1045711346706542'}, {'created_time': '2023-11-23T00:07:23+0000', 'message': 'Happy Thanksgiving, to all your family!', 'id': '855913363204370_344202498194510'}]",ranked,3,True,,MwZDZD,MQZDZD,
"We’d like to share with you a project that we’ve been part of over these past few weeks. It’s a website #LetMyChildrenGo and it’s dedicated to the child hostages who were kidnapped and are being held by Hamas.

The site is based on the understanding that art is an expression of life. It is about creativity and openness to possibilities. It is about children who belong at home, with their parents, surrounded by people who love and nurture them. We invite you to create art and share it on the site - to give these children their childhood back.",2023-11-20T23:09:45+0000,124319427612935_854633586665681,[],QVFIUmlpYnBZAMEFId2g0WWd6cUlaY0RRcC1vZA1FxNTRmYTd4dHY1ZAlRDMHl6eUlnbEFXaE5jY1dPMEtHM09GN05LR2MZD,QVFIUl9WeEhxa0xxdDBEWGk3WC1ZANDU4c0s5bkphMnFWN2NRNXVtV1FaRWVxREpQWnp3Y0xQS2tjNWlaNF9EaUZATSS0ZD,6,True,False,[],chronological,0,True,,,,1.0
"Thank you for your messages of support. Thank you for checking in with us to see if we’re safe. Thank you for checking in with us to see if we’re okay. ❤️

We’re truly touched by the outpouring of positivity and unity in response to the ongoing war. Your comments mean the world to us! Thank you, thank you, thank you. 🫂❤️",2023-11-02T19:20:52+0000,124319427612935_842825604513146,[],QVFIUllobWE0Sk82U2hJV19iY3k2R3YwTU1ueDRyT2pfQkdEZAThRUWZAUYmluMUUyYmtNQkk4M0c4SndaQTM2cWxfaHgZD,QVFIUnVKLXVSaUMyQ04xOEhySlRuMS1LcnBTNXR1d1hoTm1oRmhrRlA5anNROG1pb052eFFUOXJiUE1yblZA1Mjd6OFIZD,5,True,False,[],chronological,0,True,,,,2.0
"Black November is coming right up. It’s one of our biggest sale events of the year! 🎨

We pour our hearts into every creation, and we need your support to keep sharing our passion with the world. 🌎🛒

🖼️ Mini Masterpieces - 10% Off 
🖼️ Petite Beauties - 20% Off 
🖼️ Classique Collections - 20% Off 

🗓️ Starting Nov 1st until Nov 30th

Visit our website at jeanpierreweill.com and start shopping for your loved ones ❤️",2023-10-25T15:26:09+0000,124319427612935_837297925065914,[],QVFIUlFaVEJzX1RsaVVvWGJZAOGJyY1E0LWllWGFoM0xOQjVDbUQ2NGlkQXlGRXpTS3BDclowMlZAXVHdCMHk0ZAnhzWS1SR3FNWHVjM3hQU29UUW9kR25CeVVR,QVFIUmt6aGVKbndfRjhLUjM1NE1WN0xqLWUwVnVvdGx0aGczSG82R0lsa1lSeWllNmFaOERoTktpUXFTTndoMjNTcXUZD,7,True,False,[],chronological,0,True,,,,2.0
Thank you for all of your prayers. 💙 🇮🇱 All orders are on pause.,2023-10-10T14:45:15+0000,124319427612935_826146996181007,[],QVFIUlpDdFhWU2hycTZAuY1hGU3FKMkMzZAFV1R1RYRzRJb3lnVmdaaGF5aHBxZAUg4cEFXbHViR3hJNDJ0bVBkZAFB1aTEZD,QVFIUm0wNE1fbFdiVExXTVlZAMWt5ZAEdsLXAyLWM3ZAEttdzNpWTVTRGNvTXd1LV9tTzBmY21YdlNRNV91elpOOFlUOGsZD,87,True,False,"[{'created_time': '2023-10-11T22:36:00+0000', 'message': 'Prayers for you 🙏 and your country', 'id': '826146996181007_704898121066449'}, {'created_time': '2023-10-14T02:58:17+0000', 'message': 'Prayers are with you, be safe', 'id': '826146996181007_337542152127671'}, {'created_time': '2023-10-10T21:18:17+0000', 'message': 'Praying', 'id': '826146996181007_1734918253643488'}, {'created_time': '2023-10-10T20:43:54+0000', 'message': 'Thank you for sharing.  Stay safe.', 'id': '826146996181007_294173046283838'}, {'created_time': '2023-10-10T19:54:45+0000', 'message': 'Our thoughts and prayers are with you.', 'id': '826146996181007_270223065978287'}, {'created_time': '2023-10-10T19:47:45+0000', 'message': 'Thank you SO MUCH for letting us know you and your family are safe. Our hearts are breaking. Please know that you are in our thoughts & prayers. Please be safe. God bless Israel.', 'id': '826146996181007_1126480414890027'}, {'created_time': '2023-10-12T13:33:06+0000', 'message': 'Blessings to U and Ur family ❤️', 'id': '826146996181007_236943829040069'}, {'created_time': '2023-10-10T18:06:48+0000', 'message': 'Praying for your continued safety.', 'id': '826146996181007_251653267834268'}, {'created_time': '2023-10-12T00:36:09+0000', 'message': 'Prayers for all', 'id': '826146996181007_1035967661065737'}, {'created_time': '2023-10-10T18:24:53+0000', 'message': 'We are praying 4 you and I was searching your page 4 this knowledge....May God keep you safe and my heart breaks 4 your country....😭😭😭', 'id': '826146996181007_299118246238674'}, {'created_time': '2023-10-10T23:36:36+0000', 'message': 'Wondered about you immediately. Glad you are safe. Prayers for peace.', 'id': '826146996181007_668115825297535'}, {'created_time': '2023-10-16T01:17:28+0000', 'message': 'Stay safe. ❤', 'id': '826146996181007_1427569781144040'}, {'created_time': '2023-10-20T14:08:41+0000', 'message': 'Our family is praying that you all remain safe including the entire state of Israel.   We had the opportunity to visit your beautiful country for the first time by cruise ship only the week before the tragic day of Oct. 7th.  Every single Israeli greeted us with such kindness.   Prayers to the almighty that Israel is finally able to be safe.', 'id': '826146996181007_340853195092057'}, {'created_time': '2023-10-12T00:49:52+0000', 'message': 'Please stay safe.  You are in my prayers', 'id': '826146996181007_1036749621003535'}, {'created_time': '2023-10-10T19:29:52+0000', 'message': 'We think of you, and we suffer with you and all people in Israel. We hope that this nightmare of horrible palestine terror comes soon to an end, and that your government and army can restate your security again. Our very best wishes, thoughts and good energies from Switzerland 🇨🇭!', 'id': '826146996181007_1056417682180758'}]",ranked,16,True,https://graph.facebook.com/v21.0/124319427612935_826146996181007/likes?access_token=EAAFwrJWP4CIBOzFp2qlM0f2YADANbOCBPbEWxDlfxs9ZA85E1L8faNh5LcZCzxPExrkkukbq41ZBx67qXSrolIAbphbwCqgJfmuXDADit7UIhZCqxDdQhciw9dflZBuFBscZA8Rb85uBfULaZAsMibXFSzDFqyTLDsEoJ7zUM8yzGVat0QtiEMbYjfi4dXfb8gTo9ipL3NZC0glGS6gZD&summary=true&limit=25&after=QVFIUm0wNE1fbFdiVExXTVlZAMWt5ZAEdsLXAyLWM3ZAEttdzNpWTVTRGNvTXd1LV9tTzBmY21YdlNRNV91elpOOFlUOGsZD,MTYZD,MgZDZD,1.0
"🔥 What's in it for you?

✨ Sneak Peek: Be the first to lay eyes on mesmerizing new artworks, igniting your passion for beauty.

💰 Exclusive Offers: Unlock secret doors to jaw-dropping deals and sales available only to our cherished subscribers.

📖 Art Stories: Dive deep into the captivating narratives behind each masterpiece, connecting with the heart and soul of artistry.

📆 Minimal Intrusion: With just 2 emails per month, we respect your time while ensuring you're always in the art loop!

Don't wait! Subscribe now and let art enrich your life. 🎨✨",2023-10-04T14:11:55+0000,124319427612935_821806163281757,[],QVFIUmF5ME9YNVhQN3lHOWNaemNpTndWRlVCbmppVXc3cjBra1FxRlNUaTNOX3U5dklOMUJhZATduRk1IVi0wNXJuZA1VEanNSaHNjcTMyNDExdWQ1Qy0zU1ZAn,QVFIUkpkcng0U3hleEZAFcUV2dzBDQmUzQ2ZA4cVNRRXdTeGsxNnpOUXg0SXhteGVuLXJxWlVxUWVUSzE4dmtrazhlemUZD,4,True,False,[],chronological,0,True,,,,
"Hey there, welcome to our family art studio! We've been on this colorful adventure since '92, when I was searching for a way to make art and support my growing family. That's when I stumbled upon the magic of 3D paintings, and the rest is history!

About 10 years ago, we packed our brushes and moved to Israel, where my amazing daughters, Davida and Safira, hopped on board. They brought their own flair and creativity to the mix, making our studio even more vibrant.

We're not just a studio; we're a creative family, and now you're part of it too! Your love and feedback make our paints flow even smoother. So, here's to staying playful, keeping it real, and always giving our best. Thanks for joining our artistic journey! 🌟🖌️",2023-09-28T19:00:53+0000,124319427612935_817907597004947,[],QVFIUmM2WDdGelpuYXpsTUVoSzJqbXZAYcnU1ZAWlWV2xaSWhneVpRZAldKemswd0gwaWg1QmRYdHZAyNHBRYmdPclRMdHllSjY4VWtiWHZA1WkN5cFdrcVg1OVVB,QVFIUkxvMkZARSFpwSlltamk2Rlp1cmdLazg0QmZABT1hSLVp5cmJGdXdmMDVDQzBrdWd2SXRlWDZAmdXpVcC1VWUs1WmkZD,73,True,False,"[{'created_time': '2023-09-28T20:32:41+0000', 'message': 'I love your work! I hope I can buy something soon', 'id': '817907597004947_839123561197045'}, {'created_time': '2023-10-03T16:29:33+0000', 'message': 'So very talented!', 'id': '817907597004947_1354169275192799'}, {'created_time': '2023-09-28T23:18:30+0000', 'message': 'Amazing talent! 💕', 'id': '817907597004947_1265678480786065'}, {'created_time': '2023-11-06T11:50:53+0000', 'message': 'Hola mucho gusto!!! Un saludo desde Colombia. Que maravilloso lo que uds hacen. Muchos éxitos para su taller. Un abrazo.', 'id': '817907597004947_845924460337309'}, {'created_time': '2023-09-28T20:40:38+0000', 'message': 'I still love the piece I bought from you at the Ann Arbor Art Fair many years ago!', 'id': '817907597004947_659912316233647'}, {'created_time': '2023-09-28T19:43:00+0000', 'message': 'I have followed and loved your art for years 🌸💫', 'id': '817907597004947_2431587133712433'}, {'created_time': '2023-09-28T23:56:31+0000', 'message': 'Such a lovely family 😍 I’m a big fan of your art and bought 3 pieces of your collection so far and loving each of them so much!  ❤️', 'id': '817907597004947_1003932104197169'}, {'created_time': '2023-09-29T11:46:10+0000', 'message': 'Love your work! I purchased a piece a few years ago,  need to buy another one! So beautiful.... and unique.', 'id': '817907597004947_653455290261140'}, {'created_time': '2023-10-02T08:13:41+0000', 'message': 'The Best Combination of Colours   !', 'id': '817907597004947_1265670184147055'}, {'created_time': '2023-09-28T23:10:54+0000', 'message': 'I have purchased 4 paintings and love them', 'id': '817907597004947_850321036666061'}, {'created_time': '2023-09-28T21:02:12+0000', 'message': 'I have purchased at least 5 of your pieces during the Pandemic.  They gave me life and hope for the future.  Continue to create those pieces that give us hope and that will endure throughout the years. Peace.', 'id': '817907597004947_725951922904664'}, {'created_time': '2023-09-29T03:00:24+0000', 'message': 'Love your work.  I have a few. 💕', 'id': '817907597004947_1302769727039397'}, {'created_time': '2023-09-29T08:17:24+0000', 'message': 'What your family does is just magical!!!!!', 'id': '817907597004947_828627612229634'}, {'created_time': '2023-09-29T00:41:56+0000', 'message': 'I absolùtely love mine. Purchased at Javitts Center NYC', 'id': '817907597004947_3553261908254023'}, {'created_time': '2023-09-28T22:16:52+0000', 'message': 'That’s my beautiful girl.', 'id': '817907597004947_979594489793311'}, {'created_time': '2023-09-29T09:03:44+0000', 'message': 'I know I wrote before, but you are so unique in your artistic creativity.', 'id': '817907597004947_697537582229395'}, {'created_time': '2023-10-01T17:57:50+0000', 'message': ""I own a piece of your work. The Hebrew alphabet, 3D.\nIt's lovely.\n\nNow, when I saw your new ad, I gasped.  Please rethink the picture of your ad. It's hitting too close to images following the Holocaust."", 'id': '817907597004947_338662178888898'}]",ranked,18,True,https://graph.facebook.com/v21.0/124319427612935_817907597004947/likes?access_token=EAAFwrJWP4CIBOzFp2qlM0f2YADANbOCBPbEWxDlfxs9ZA85E1L8faNh5LcZCzxPExrkkukbq41ZBx67qXSrolIAbphbwCqgJfmuXDADit7UIhZCqxDdQhciw9dflZBuFBscZA8Rb85uBfULaZAsMibXFSzDFqyTLDsEoJ7zUM8yzGVat0QtiEMbYjfi4dXfb8gTo9ipL3NZC0glGS6gZD&summary=true&limit=25&after=QVFIUkxvMkZARSFpwSlltamk2Rlp1cmdLazg0QmZABT1hSLVp5cmJGdXdmMDVDQzBrdWd2SXRlWDZAmdXpVcC1VWUs1WmkZD,MTgZD,MQZDZD,4.0
"Can you spot the personalization? 🔎👀

You did it!

Tiny details, big love. ✍️ Add your personal touch with up to 10 characters on your Petite Collection piece - because it's the little things that matter most!

*Personalize with up to 10 characters for free with any Petite Collection purchase.
**Just $10 for Mini Collection pieces.",2023-09-20T18:42:31+0000,124319427612935_811855190943521,[],QVFIUlY4bU1pemloRVlKZAVlFY2pINDl5cHhfc0xkRktiaGM2dXBsLXJDQ21vZAFJSZADFVVXU3OG5ZAb1Fhb3ZADY182ZA1UZD,QVFIUmtPQmFYYkt6Q2xQX0JqSVBmai1MUkt0NHFkaWkzajJRUXpUZA2MyMUpzTlh2Tnc3SElZAVUo2M0ZAETEVyRzUzclVoa3NiYXUxNVE2UWhJOElFZAXR2UFJB,18,True,False,"[{'created_time': '2023-09-21T03:08:23+0000', 'message': '❤️', 'id': '811855190943521_1252948482034402'}, {'created_time': '2023-09-21T03:10:32+0000', 'message': 'Up above the squirrel, a name!', 'id': '811855190943521_348005070988474'}, {'created_time': '2023-09-21T03:09:16+0000', 'message': 'Horse, and cross, too!', 'id': '811855190943521_829500025444895'}]",ranked,3,True,,MwZDZD,MQZDZD,3.0
"Embracing the serenity of autumn in Venice 🍁 The sounds of water are a symphony to the soul, filling every corner of this enchanting city with tranquility. In this painting, as figures glide along the canal, their hearts are at peace, feeling loved by the world itself.",2023-09-14T17:59:26+0000,124319427612935_807557594706614,[],QVFIUkN2MllTamtJbTdSeHZAQUnVPa1EzUklhSXBjaW1MZAkpvS05pV0xySTNqLUVRMUxEN1RqNUhUSjVYaER0S0xJRksZD,QVFIUmdhX1EzUWdIT3l6UjZAkdDYzQkpsTU9VZADNRYWFRNzZAoOHRSS3dsanBsVW8tUW9BZAHIxRjlab0NZAeEJ4X0lQODNJWlk5UXpMSF80ak82enMyX00yVkp3,5,True,False,[],chronological,0,True,,,,
"As Rosh Hashana approaches, we're diving into the symbolism of pomegranates! 🤗✨ May your merits multiply like the seeds of this sweet fruit. 🎨 

Explore our 'Sweet Year' Mini piece, featuring art that captures the spirit of the holiday. Enjoy 10% off this week! 🍎🍯🎉",2023-09-06T19:02:44+0000,124319427612935_802148045247569,[],QVFIUjlmN283SVk1RXdXQkhIdWZAHdnhPc0p4dkpxWnFBYnBHMWxfa2ZAmeHRJYmJ3YWdxLWpvVWRQYktNMTZADekN2OEgZD,QVFIUjloVGZAERENBMHdDYVZAqTTl4ckd1ZAXNzd1RrUTBjTHZAwT2JIZAUF4X3lEVFdvM2JoazZAEQndnRERQWERMTnBfQk4ZD,8,True,False,[],chronological,0,True,,,,
"Embrace the serenity of the shore on National Beach Day 🏖️🎨 

Our 'Child on Beach' 3D glass painting captures the essence of slowing down, sharing moments with friends (or teddy bears!), and soaking in the sky and sea. 

Art available on jeanpierreweill.com",2023-08-30T15:14:28+0000,124319427612935_797324912396549,[],QVFIUjAweDJfUFZAEdjlPbk9xNnBWUy1ORTNJY0lGaW1IOXNIS2dpVjFQSXpIeXpIMDBxR0lxSjNhajhmUy1RSjhzRnNFOC1pbXRkdzhleHEtbmc4b1lQbzF3,QVFIUlBmX3dBeEYxRktVZA0JCTGF2QldBU2pCUG4yOEZAvUE1iOGNVTlJBR01fQVdDMUtzX25sdEFlTklINVlWZA2NBbW5mb08xUDJWMXVYV2FFQnA5ZA0F0RTZAR,9,True,False,"[{'created_time': '2023-08-31T17:52:05+0000', 'message': 'I love the gentle colors and serene feeling of your work!', 'id': '797324912396549_2680041102146633'}]",ranked,1,True,,MQZDZD,MQZDZD,1.0
"Evolve 📖 

Evolve is Jean-Pierre Weill’s second book. It is an illustrated narrative from the book of Genesis told through 100 paintings about what it means to be personally free. These illustrations are just some of the beautifully painted pages you can find in the book! 

Available now on jeanpierreweill.com with 30% OFF. 🛒",2023-08-09T16:21:25+0000,124319427612935_783335337128840,[],QVFIUjdJS1Q3aWQ0LWhBUTlJa2ViTHExTHJxU1FoNnBWN2ZAWQk1UeVZAGUmdielRld1o0ai1CWXloRm9JSDkwT2VSd3plbTRKSkVFYUt2OGh1clZAVTHoxMFJB,QVFIUlRXS1M1cW14VUpCZAlNIRDI1WTF2bkdGTXZAZAc2JyYWNSWDBINnhKM1h2cllsbWYtTEVaWExqc1lWUVRIS3UtSE5Jazl2VmxVUGF5c000OXVKUVk2clhn,16,True,False,"[{'created_time': '2023-08-09T17:21:53+0000', 'message': 'Cathy Gastfield my fave artist! \n😍', 'id': '783335337128840_1280350689277342'}]",ranked,1,True,,MQZDZD,MQZDZD,
"In  the  quiet   stillness  of  dawn,  five cranes  raise  their   heads  in dance.  These elegant  creatures,  said  to  live  for  a  thousand years,  are  symbols  of  happiness,  eternal  youth,  and  good  fortune.  Their  joy  in  simply being  alive  is  apparent in  their  graceful  movement   through  beams  of  color  and  sunlight. 💫",2023-08-02T23:01:39+0000,124319427612935_778854630910244,[],QVFIUnQ1MVE1VVdFRHJTeXQwMzBUbzllUV85YkEzb0NoMHpDek95eGRiYlllRkhpY0duY0FtTGxoMDNud1p0ZA2t4dVJRcTRFRnBfc2xVYkpud1htNTViQnBB,QVFIUndQRTBlUTJWcmI4UDZANWmRwWUp0eENTd2N0SF9tQlRQd1Nfd1JtMTdDNVBoc0Q4XzYza0djYTdtbnRRWWNiU28yZA3JhSElVbVAzdnhOWnBSU0s4NThR,6,True,False,[],chronological,0,True,,,,1.0
"- Jerusalem Prayer -

This colorful and fantastical depiction of Jerusalem touches on the simple sacredness of prayer. Letters float in the air around the Heavenly Temple we build through acts of kindness. 

According to Jewish tradition, when Jacob dreamed of a ladder that stretched up to the Heavens, he was sleeping on the site of the future Holy Temple. 

This painting serves as a reminder of the power within each of us to connect. 

Today we want to commemorate Tisha b'Av, a solemn Jewish day of mourning and fasting that commemorates the destruction of the First and Second Temples in Jerusalem.",2023-07-27T14:30:10+0000,124319427612935_774769364652104,[],QVFIUkI3SzV1Rk1NNVRFcllUamdmSXdmdTJXU2s2YkRpQmN5OUJKWUdyYWFkSzZAiSWRHdjZA1V2o4cV9lM3NTRUxVcXU2M0Fva2tqWTdOcVoyenQxcDZAWYUt3,QVFIUkQtNndtdEk2Q3pnMHZArdmN4Q1J2S01meTlfcDZARdFI4LUJDMUxyNl9McEF3UlpVb19rRFUwRFFWYzNkZAXZA2VVRvZAGRFcjVWRW5mZA2w4bEhkRW1uUl9B,30,True,False,"[{'created_time': '2023-07-28T12:12:36+0000', 'message': 'Love these whimsical works of ￼art!', 'id': '774769364652104_669740867917165'}]",ranked,2,True,https://graph.facebook.com/v21.0/124319427612935_774769364652104/likes?access_token=EAAFwrJWP4CIBOzFp2qlM0f2YADANbOCBPbEWxDlfxs9ZA85E1L8faNh5LcZCzxPExrkkukbq41ZBx67qXSrolIAbphbwCqgJfmuXDADit7UIhZCqxDdQhciw9dflZBuFBscZA8Rb85uBfULaZAsMibXFSzDFqyTLDsEoJ7zUM8yzGVat0QtiEMbYjfi4dXfb8gTo9ipL3NZC0glGS6gZD&summary=true&limit=25&after=QVFIUkQtNndtdEk2Q3pnMHZArdmN4Q1J2S01meTlfcDZARdFI4LUJDMUxyNl9McEF3UlpVb19rRFUwRFFWYzNkZAXZA2VVRvZAGRFcjVWRW5mZA2w4bEhkRW1uUl9B,MQZDZD,MQZDZD,2.0
"Limitless -

Looking to the horizon,  propelled forward by cycling and favorable winds the sense of camaraderie is tangible. These two are off on great adventures! 🚲

Visit our website jeanpierreweill.com 🛒",2023-07-12T18:53:25+0000,124319427612935_765257868936587,[],QVFIUkxrVXFFbWU3LUxVd3hpb3BPLWVNZAEhoX1VCOXB4STVFQjhRYXRid2tyZAlRJOUFFSHNvanA0X0JlZA1NHYjBtRmsZD,QVFIUjFuc241VG1DalRKckV3dXdxRkNSajhmRTY0UUNJZAEhycUtoQ09FRV85VEN6ZAWQ0WXZAhSDBuUVZAfZAXh3TTJsUklVeEljV3FJUFJockhxQlFWZAGo2SVh3,7,True,False,"[{'created_time': '2023-07-16T00:52:40+0000', 'message': 'Wonderful!', 'id': '765257868936587_972477817402747'}]",ranked,1,True,,MQZDZD,MQZDZD,1.0
"Amidst the warmth of summer, we raise our glasses to celebrate life's exquisite moments. 🍷🤩

Two glasses of burgundy wine stand ready for the toast of some joyous occasion. Dark red grapes and blue skies through the window suggest a rich summer moment. L’chaim! To life! 🥂",2023-07-06T18:38:15+0000,124319427612935_761163769345997,[],QVFIUm41bjNmT3VOWHdRTkxRclVneHk3NE5oQ2NaUG5sLUJDUnYxUlplT3U3aDNBcFVycFVsUDZAWTXJ2WElxX3JKT1IZD,QVFIUlBvXzNSVjNIRloyTTdldkFsbU4wZAE5IX25MOGRVTUtZAUDlfMGVkbmF0OU9wa19YMDl3bkpKdzMzN29ETjdyQUg5S01YMzk0UVQxVUZA1aU03OGVZAQ0dB,11,True,False,"[{'created_time': '2023-07-06T22:00:42+0000', 'message': '', 'id': '761163769345997_227342486918529'}]",ranked,1,True,,MQZDZD,MQZDZD,
"Sun, water and sand. Build a castle! Build a moat! With beloved companions near, on a day such as this we have all the time in the world. ☀️⛱️🎨

Visit our website: jeanpierreweill.com",2023-06-29T20:26:58+0000,124319427612935_756153986513642,[],QVFIUktWMlJFU0ZASWnRvcnFZANmZAsNDRyX182R0hmR0M3cUloaWRZAQUFQbGVXZAFhSWWhQOWZA2V19VZAUFCTjM1SEEtcjZAzbkpjcnRhV0tCVlJqaUJwWWdoYThn,QVFIUjFObV85RVdYaVgwNkJNdDJxS2xDOFFLOTJBd1pyR1dMcnJJUUlkVGV1Y09GY2lyY3BUX1BXRWJjTmVxYjVhVzAZD,14,True,False,"[{'created_time': '2023-06-29T21:31:49+0000', 'message': 'Emily Wexler \nFor my bday, if u can go in with john, this is my favorite artist!!❤️❤️❤️❤️❤️', 'id': '756153986513642_277497614765845'}, {'created_time': '2023-06-29T21:02:46+0000', 'message': 'Harmony 🦋', 'id': '756153986513642_208939165445291'}]",ranked,2,True,,MgZDZD,MQZDZD,
"We have some exciting news! 🎨

It's 30 OFF% on our entire Petite Collection, but make it 4X LARGER! 🤩

How does it work?
Browse our Petite Collection.
Note the title of your absolutely favorite painting.
Go to the 4X larger page and type in the name of the painitng. Your 30% OFF will be automatically applied.
Check out and we'll send it your way!

Do not hesitate to contact us if you may have any questions. We are here to help you!",2023-06-23T14:15:48+0000,124319427612935_751811756947865,[],QVFIUnRSc0VNeU90M0R1d2g4SGdxUFZAOaExNOFNxeXJkRUF1ckI2dGJZAQkhTbmlZAbExFaFlrdnQ0amVjenp0OU0xcmoZD,QVFIUnFPOVFEd3hpa04zTHZA4d3JuTDA4eEMybVhxOWxsNWxYUG9qTGp4MUpMTlpoX0dqWXNNN3JaMjhMel9UVUcxXzAZD,8,True,False,[],chronological,0,True,,,,1.0
